id,text,label
0,dạy ở giảng đường mà không ngồi trên thì khó thấy bảng colonbigsmile .,negative
1,"nhiệt tình , có tâm huyết .",positive
2,"thầy dạy giỏi , quan tâm tới học sinh , vui tính , mong là ngày nào đó thầy sẽ dạy lại lớp em .",positive
3,có slide bài giảng tiếng anh giúp nâng cao trình độ đọc hiểu tài liệu chuyên ngành và nâng cao kiến thức cho sinh viên .,positive
4,"thầy có tâm huyết trong việc giảng dạy , sẵn sàng giảng lại những kiến thức chưa rõ .",positive
5,"cô dễ thương , giải đáp thắc mắc tận tình .",positive
6,"giảng viên dạy nhiệt tình , dễ hiểu .",positive
7,"em mong học kỳ tới , nhà trường cung cấp cho những lớp phần mềm chất lượng cao chúng em nhiều sự lựa chọn giảng viên cho môn học game cơ bản để chúng em có thể nhanh chóng hoàn thành môn học và ra trường đúng tiến độ .",negative
8,"thầy vui vẻ , thoải mái .",positive
9,nội dung các bài thực hành cần có hướng đi bao quát hơn .,negative
10,môn học với kiến thức không quá nặng .,positive
11,"phần kiểm tra , thi cử đối với môn này nên đề cao tính tư duy logic của người học cũng như khả năng áp dụng kiến thức đã học vào thực tế thực nghiệm bằng cách chủ yếu đánh giá cao phần thực hành , viết code , làm project .",positive
12,đề nghị lắp thêm quạt .,negative
13,"kính mong giảng viên có thể cho thêm nhiều bài tập nhằm giúp sinh viên luyện tập , nắm bắt nội dung môn học và vận dụng nó hiệu quả hơn , giúp ích cho việc học các môn sau này .",negative
14,mong thầy và nhà trường xem xét lại những điều em vừa nói .,negative
15,ít chú trọng phần ngữ pháp .,negative
16,"thầy có khả năng truyền đạt kiến thức tốt , dễ hiểu và cho nhiều bài tập để sinh viên có thể ứng dụng .",positive
17,"hầu như trong cả năm học , giảng viên chỉ đi dạy đúng thời khoá biểu chỉ từ 2 đến 3 ngày , còn lại giảng viên lại tự ý dời lịch học sang ngày thứ 7 mà không hỏi ý kiến của sinh viên , vì vào ngày thứ 7 có rất nhiều sinh viên có lịch học môn khác .",negative
18,cần có giáo trình đầy đủ .,negative
19,"giảng viên không hề giảng dạy , chỉ đưa đề cương rồi thôi .",negative
20,có giao tiếp tiếng anh và thực hành giao tiếp trong lớp học nhiều .,positive
21,hài lòng về tất cả .,positive
22,thêm hệ thống ổ điện ngầm dưới nền nhà để tiện cho việc sinh viên có thể cắm laptop phục vụ học tập .,negative
23,"giáo viên nhiệt tình , tâm huyết , thường cho làm việc nhóm trong giờ học .",positive
24,"dạy tốt , tận tình .",positive
25,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,negative
26,trường ta cần những giáo viên nhiệt huyết và tài năng như vầy .,positive
27,"thầy rất tận tâm , quan tâm tới sinh viên .",positive
28,chỉ tham gia chấm điểm không giảng dạy trong giờ thực hành của lớp một lần nào .,negative
29,"thời khóa biểu phân chia không hợp lý , chưa học lý thuyết đã phải học thực hành .",negative
30,hỗ trợ thêm về các thiết bị dạy và học .,negative
31,"giảng viên rất hòa đồng vui vẻ , nhiệt tình trong giảng dạy .",positive
32,"khi có nhóm lên seminar thì phải có ít nhất ba câu hỏi thì mới "" đậu "" , không cần biết câu hỏi là gì , không đủ ba câu thì phải làm lại .",negative
33,"lượng kiến thức thì nhiều mà thời gian dạy thì ít , mong phòng đào tạo có thể xem xét và chia ra dạy mỗi môn 1 - 3 ngôn ngữ , ví dụ như html , css làm 1 môn học , js và jquery làm 1 môn , php làm 1 môn .",negative
34,loại kiến thức thầy truyền đạt rất có sức thu hút .,positive
35,mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,negative
36,nên cho nhiều bài tập hơn .,negative
37,chưa tiếp thu trọn vẹn .,negative
38,cần học môn lập trình trực quan trước .,negative
39,nên nâng cấp và bảo trì các phòng máy cũ thường xuyên hơn .,negative
40,"giảng viên khó tính , thỉnh thoảng lớn tiếng với sinh viên , không tôn trọng ý kiến của sinh viên .",negative
41,"em học ở phòng mà bên cạnh là công trình đang thi công , khá là ồn ào , vì thế khi học đến phần nghe , em không thể nghe được gì , và bài nghe bị gián đoạn .",negative
42,cập nhật bài tập mới .,negative
43,đề nghị nâng cấp phòng lab khoa mạng .,negative
44,cần nâng cao hơn chất lượng giảng dạy .,negative
45,em thấy thầy chỉ giảng cho có .,negative
46,"giảng viên dạy dễ hiểu , vui tính .",positive
47,thầy vui vẻ dạy dễ hiểu .,positive
48,giải thích nội dung mới rõ ràng .,positive
49,thầy giảng bài khá dễ hiểu .,positive
50,em cần phổ biến nhiều thông tin hơn .,negative
51,"giảng rất hay , giảng nội dung quan trọng không lan man .",positive
52,cơ mà em học môn này em hiểu colonlove .,positive
53,thầy hứa sẽ up điểm giữa kỳ sớm mà điểm giữa kỳ thì tới giờ này vẫn chưa có ?,negative
54,làm mất tinh thần khi nộp bài .,negative
55,còn quá ít bài tập .,negative
56,thầy hướng dẫn thực hành hay .,positive
57,giáo viên chưa tạo được không khí vui vẻ trong lớp học .,negative
58,"hướng dẫn làm đồ án môn học chưa chi tiết , cảm thấy lý thuyết và thực hành không liên quan nhiều đến nhau .",negative
59,"bài tập thực hành mỗi tuần hơi khó , mong rằng ở mỗi bài tập giảng viên có thể cung cấp bài giải kỹ càng để sinh viên có thể nghiên cứu và hiểu được cách làm .",negative
60,đôi khi không có sự nhiệt huyết .,negative
61,"trên lớp , khi giảng dạy , giảng viên sử dụng rất nhiều câu nói , từ ngữ thô tục , chửi thể rất vô văn hoá .",negative
62,giảng viên nên dạy đúng giờ hơn hạn chế cho sinh viên về sớm .,negative
63,"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",positive
64,"nhiệt tình , tâm huyết !",positive
65,"cảm ơn cô đã nhiệt tình hỗ trợ tụi em , giảng lại các nội dung mà thầy lý thuyết lướt qua .",positive
66,"thầy nhiệt tình , dễ chịu .",positive
67,cô giảng dạy nhiệt tình và tận tâm .,positive
68,"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",positive
69,thầy dạy có tâm ạ .,positive
70,thầy giảng dạy rất nhiệt tình .,positive
71,thầy giảng bài hay và hiệu quả !,positive
72,"khắc phục khuyết điểm "" tôi không có lý do gì để xem bài tập của em cả "" .",negative
73,cách giảng dạy gây buồn ngủ .,negative
74,thầy nên share lại slide cho sinh viên !,negative
75,trong khi thầy dạy sinh viên chỉ hiểu được vài gạch đầu dòng thì lại làm một vấn đề mà google cũng bó tay .,negative
76,"tận tâm , nhiệt tình với sinh viên .",positive
77,"thầy dạy nhanh , hay !",positive
78,"cách thầy giảng dậy rất khoa học , đơn giản dễ hiểu !",positive
