id,text,label
0,Nhìn chung là sẽ không bao giờ quay lại ! ! ! ! !,negative
1,Quán hay mở nhạc xưa .,positive
2,Và tất cả đều tuyệt luôn .,positive
3,Khoai miếng to giòn đậm đà,positive
4,"- Châm trà nóng / lạnh , khăn free .",positive
5,Mì ý kem bò khá ngon .,positive
6,Trông mọi thứ có vẻ sạch,positive
7,♢ Giá cả hơi cao ( từ 40k trở lên ),negative
8,Khẩu vị : phù hợp với người Việt .,positive
9,- Đu đủ thì cứng sượng & chiếm phần lớn .,negative
10,Nv ok bỏng ngon : x,positive
11,"Mua deal ngon , cua tươi ,",positive
12,Nhân viên thì ta nói thôi rất tồi tệ .,negative
13,1 cảm giác khi mua mà như bị lừa,negative
14,Khá chật hẹp.,negative
15,Đã ăn ở đây được 2 lần .,negative
16,Nhân viên thỳ luôn niềm nở với khách hàng,positive
17,Chờ dài cổ 30 ' mới ăn đc,negative
18,Nhân viên không thân thiện cho lắm .,negative
19,Món gà ngọt như đang uống nước đường,negative
20,"Ốc tươi , chế biến đậm đà , ngon",positive
21,Đồ ăn sáng ngon và đầy đủ,positive
22,đầu bếp quá tệ và nấu quá lâu,negative
23,"Không gian nhỏ nhắn , nhìn rất ấm cúng .",positive
24,Decor siêu đẹp và dễ thương 😍,positive
25,1 lần ghé vào t 2 mà đóng cửa,negative
26,"Không gian quán rộng , trang trí dễ thương < 3",positive
27,Giá cả tốt so với khu này .,positive
28,Nói chung là ăn thấy ngán ngán ...,negative
29,Nói chung là ghé một lần cho biết thôi .,negative
30,Về khoing gian mát mẻ thoải mái lắm,negative
31,- Chỗ ngồi rộng thoáng mát,positive
32,xin trừ điểm chất lượng đi,negative
33,- về vị trí : hơi khó tìm,negative
34,Ở đâu rẻ đc thế @ . @,positive
35,"  Anh phục vụ ậm ờ , "" từ từ rồi tới lượt """,negative
36,Hình ảnh chỉ mang tính chất minh họa thôi ...,negative
37,Chắc sẽ ko quay lại lần 2 đâu 😌,negative
38,Ko có ý định quay lại .,negative
39,Bye bye chổ này mãi mãi .,negative
40,ko có chỗ ngồi,negative
41,Ko có lần thứ 2 luôn .,negative
42,"Thịt 3 chỉ quá khô , ăn cứng lắm .",negative
43,Đề nghị chủ quán nên xem lại :,negative
44,takoyaki thì ko có gì đặc sắc,negative
45,Một đi không muốn quay trở lại ! ! !,negative
46,Có nhiều nguyên liệu trang trí dễ thương .,positive
47,Trung bình là 10 điểm hehe,positive
48,Cảm thấy phục vụ rất tốt   ạ ! ! !,positive
49,Chảo Restaurant là một lựa chọn hợp lí .,positive
50,- Phải đợi chờ lâu thật lâu,negative
51,Bún chả ngon đầy đặn không gian rộng,positive
52,- Phục vụ : dễ thương nhiệt tình lắm hí hí,positive
53,Không đáng với giá 50k .,negative
54,Nói chung là rất là không thích,negative
55,Phải nói store này quá tệ .,negative
56,"Nhân viên nhiệt tình , quá ư thân thiện hiếu khách",positive
57,• Trà sữa + thạch : ngọt như đường,negative
58,"Giá khá cao , phục vụ chảnh : )",negative
59,Sđt lâu mới gọi đc,negative
60,Không gian hơi tối nhưng rộng,negative
61,"Quán thì tầm thường , bé , xấu",negative
62,Giá cả thì cũng hem phải rẻ,negative
63,Có kem sầu riêng thì ngon : ) ),positive
64,tránh nóng là hợp lý nhất,positive
65,"nhân viên dễ thương , biết chiều khách",positive
66,Trà sữa nhai luôn ly ^ ^,positive
67,Nhân viên dễ thương chưa tưng thấy,positive
68,"Điểm cộng không gian thoáng mát , rộng rãi .",positive
69,"Gia đình thì có phòng ấm cúng , sang trọng .",positive
70,"- Nhìn chung quán sạch , có không gian",positive
71,"Điểm cộng : không gian đẹp , sang trọng",positive
72,"Cứng quá , nhiều mùi quá nồng , không tự nhiên .",negative
73,"Quán cũng dễ tìm , không gian k thoải mái lắm .",negative
74,Không chấp nhận đựơc ... thật thất vọng ...,negative
75,Phục vụ cũng khá đông mà lơ ngơ .,negative
76,"Menu : Giá cả cao , ăn vừa đủ no .",positive
77,đên hokkaido vào một chiều mưa ☔ ️ ⚡ ️ ☔ ️,positive
78,"Món ăn đa dạng , vs và sạch sẽ",positive
79,"- Nước sốt đặc trưng , rất ngon",positive
80,Tất nhiên ko bao giờ mua nữa,negative
81,Soda blueberry đúng là đơn điệu thật mà đắt     ',negative
82,Dơ và còn có cả ruồi,negative
83,Quán nhỏ hơn tưởng tượng và khá ồn .,negative
84,Resort 3 sao mà quá tệ !,negative
85,Tết lại ghé ăn tiếp .,positive
86,Sẽ ghé lại thường xuyên ^ 0 ^,positive
87,Không thèm chú ý coi luôn ... . .,negative
88,"+ + + phục vụ : rat tốt , nhiệt tình vui vẻ",positive
89,Là địa điểm đẻ tụ tập bạn bè hợp lí,positive
90,- thức ăn nấu sẵn bị nguội,negative
91,Không bao giờ vô kiểu quán thế này !,negative
92,Gà tần ngon đậm đà thơm mùi thuốc bắc,negative
93,Kết luận một câu ko bao giờ ghé lần 2 .,negative
94,"Rau sống ăn kèm ko sạch , nước chấm ổn",negative
95,Không gian : cực dễ chịu . Trang trí cổ điển .,positive
96,"Nước chấm pha rất ngon , đậm đà",positive
97,Quán có hai gian rộng rãi .,positive
98,"Quán thiết kế đẹp , không gian thoáng mát .",positive
99,Thích hợp đi với bạn bè / gia đình .,positive
100,Lớp Bột thì dày làm ngán kinh khủng .,negative
101,Sẽ quay lại lần sauuuu ! !,positive
102,Nhân viên ở đây khá nhiệt tình .,positive
103,Các bạn nên xem kỹ,negative
104,Nhân viên phục vụ tốt vui vẻ nhiệt tình .,positive
105,Hix ... biết vậy khỏi đặt bàn trước cho rồi .,negative
106,"Sợ lun , k bao giờ quay lại lần 2 .",negative
107,Nhất định sẽ quay lại Cua biển ! !,positive
108,"Giá cũng được , nhân viên dễ thương .",positive
109,Nhưng nói chung là rất ok,positive
110,Cảm thấy không nên đến lại,negative
111,Nói chung là thích thích thích ! ! ! !,positive
112,▪ ️ Nói chung k có điểm trừ 😄,positive
113,"Vị trí : gần trung tâm , dễ tìm",positive
114,Giữ xe không an toàn vì phải đưa chìa khóa,negative
115,Có dịp sẽ quay lại 😤 😤 😤,positive
116,Ah chắc khi dễ ng khác,negative
117,Tối ra đây ngồi mát .,positive
118,Thức ăn cũng le que mấy miếng dĩa,negative
119,Quán rất rộng và thoáng .,positive
120,"View toàn là kpop , nhạc kpop : ) )",negative
121,Một điểm trừ to đùng cho quán !,negative
122,Nhận xét riêng : Không quay lại lần thứ 2,negative
123,Nhân viên rất chu đáo và lanh lẹ thích .,positive
124,Giá cả lại mắc so với chất lượng của nó,negative
125,Quán nhỏ hơn khó tìm xíu,negative
126,Kết : một đi không trở lại .,negative
127,"Khai vị : cá trứng , cánh gà - > ngon .",positive
128,Qua 2 lần mà vẫn chưa đc ăn,negative
129,- Đồ ăn ngonnnn lắm lun í .,positive
130,Nhân viên kém thân thiện và thiếu chuyên nghiệp .,negative
131,The best ever of nướng lụi : ) ),positive
132,"Phòng bình thường , có mùi hôi !",negative
133,- Quên luôn nước uống của 1 khách .,negative
134,"- Ếch khá thấm , nhưng nước lạt .",negative
135,Không gian thoáng mát chuẩn ok,positive
136,✔ ️ Menu phong phú và rất ngon .,positive
137,Nhân viên rất dễ thương và nhiệt tình,positive
138,"Ăn rồi , chỉ cảm thấy uổng tiền 😑",negative
139,Nhân viên không nhiệt tình . Phục vụ chán .,negative
140,- Không gian khá nhỏ và vắng,negative
141,2.5 / 5 cho mấy cái còn lại 💛,negative
142,Điểm + cho tất cả mọi thứ,positive
143,Đánh giá cao ở điểm ngoan + lễ phép .,positive
144,1 . Phục vụ quá thiếu chuyên nghiệp .,negative
145,"Nhân viên vui vẻ , chuyên nghiệp và nhã nhặn .",positive
146,cơm cuộn teriyaki vị cũng ok .,positive
147,Có cả kim chi củ cải lun .,positive
148,Menu đơn giản nhưng giá rất ok 👍,positive
149,Có ship hàng tận nơi,positive
150,"Thức ăn nêm nếm hợp khẩu vị , ngon miệng .",positive
151,Không gian quán trông khá hay .,positive
152,Ko bh qay lại lần 2 ! !,negative
153,Trà đen không mập muôn lăm ^ ^,positive
154,"Bánh ngon , mềm , thơm tươi",positive
155,Đã đến và rất hài lòng .,positive
156,món nào cũng tuyệt vời hết !,positive
157,Nói chung là k quay lại nữa,negative
158,+ Nhìn chung thì hợp với tuổi teen,positive
159,- Phục vụ còn quá nhiều vấn đề :,negative
160,- Khách phải tự coi xe,negative
161,Ăn xong hơi bị hôi miệng,negative
162,Tự ý thêm món khách không chọn. ,negative
163,Vô cùng hấp dẫn nha m . n ^ ^,positive
164,Kết quả là 1 sự thất vọng ê chề,negative
165,"Chán lắm , không bao giờ quay lại nữa",negative
166,Nói chung sẽ thường xuyên ghé quán,positive
167,👎 Điểm trừ : món quẩy cứng quá 😒,negative
168,P / s : 100% sẽ trở lại,positive
169,- Anh chị chủ dễ thương và nhiệt tình,positive
170,Ghé đây ăn dc 2 lần,negative
171,Matcha 10k cực chất,positive
172,Quán phục vụ k nhiệt tình lắm,negative
173,"Nhân viên : phục vụ nhanh , vui vẻ , nhiệt tình",positive
174,Nói chung là k bao giờ quay trở lại đây nữa !,negative
175,Nói chung là ko nên vào,negative
176,Nhưng tại Aeon Mall lần này thì thất vọng kinh khủng .,negative
177,Nói chung là ổn ! ! Sẽ quay lại ... .,positive
178,Không có ý định quay lại !,negative
179,Có nhân viên dắt giữ xe,positive
180,"Nhân viên thân thiện , siêu nhiệt tình , lễ phép .",positive
181,"Quán lề đường , khá dơ , ngay khu chợ",negative
182,- chân gà rang muối ngon,positive
183,"Không gian tối tăm , dơ , wc cũng ghê .",negative
184,"- Hết bàn rồi , đi về đi .",negative
185,Mực chiên giòn cũng ngon,positive
186,"Không gian quán thoáng mát , rộng rãi ...",positive
187,- 1 món > 30k ( và ít ),negative
188,Vị trí cũng khá dẽ tìm .,positive
189,Nhân viên giữ xe lười kinh khủng,negative
190,+ 1 đĩa mì xào hải sản,negative
191,Nhưng không gian hơi chật T . T,negative
192,Nói chung là rất yêu quán này ^ ^,positive
193,"Nhưng đồ ăn ít , k ngon lắm",negative
194,Có mùi dầu mỡ quá nhiều,negative
195,Dù sao thì : miễn quay lại - . . -,negative
196,Đồ ăn cũng được nhưng phục vụ thì vô cùng tệ .,negative
197,1 đi ko trở lại nhé,negative
198,Món được ăn âm ấm nóng .,positive
199,Ko gian màu hồng zễ thương,positive
200,Chỉ có an nhiên ở lại ...,positive
201,"Món ăn ngon , giá cả hợp lý",positive
202,Quản lý như vậy rồi nhân viên ra sao,negative
203,Bắt đầu các điểm trừ nha :,negative
204,Ăn 1 lần cạch luôn,negative
205,Điểm 10 cho chất lượng nghen,positive
206,"Bánh mì không ngon , không đặc sắc",negative
207,"Bác bảo vệ vui tính , hòa   đồng . + 1",positive
208,Mong quán cải thiện lại nước chấm !,negative
209,Quán nằm ngay Nguyễn Trãi Q1 thuận lợi .,positive
210,Giá cả ko hề rẻ.,negative
211,lâu lâu đổi gió chút cũng ok !,negative
212,đồ ăn ngon . ko khí vui vẻ,positive
213,nói chung sẽ ghé đây nửa ^ ^,positive
214,Các bạn phải cẩn thận khi vào quán này,negative
215,"  Không gian : rộng rãi , thoải mái , sang trọng .",positive
216,Ngồi đây rộng rãi hơn cả,positive
217,"Không gian quán thoải mái , trang trí đẹp",positive
218,Quán nhỏ nhưng view đẹp 👍 🏻,positive
219,Nước ok . Giá cũng ổn .,positive
220,Xoài ngon nhưng hơi chua > . <,positive
221,Gần ngã 4 cf Đồng Dao . Đối diện cf Cây Điệp .,positive
222,Bánh bèo quá nhỏ lại ít,negative
223,Lần sau tới nhất định thử,positive
224,Món salad quá tệ . Chua & lạt vô cùng .,negative
225,"Không gian tuyệt đẹp - yên tĩnh , lãng mạn , sạch sẽ .",positive
226,  > Bình thường như mọi quán dimsum,negative
227,Khu trò chơi này thực sự hữu ích .,positive
228,  Nước ngọt 12k tạm ổn,positive
229,Thất vọng khi ăn ở quán này .,negative
